Year_local,DOY,daytime,FC,LE,TA,RECO,GPP,SWC,TS
2022,144.4374,1,-15.0656,134.394,16.4682,7.264362845764463,22.329962845764463,35.537626,13.58
2022,144.4582,1,-12.7544,131.201,16.5092,7.274225496911776,20.028625496911776,35.525989,13.5
2022,144.479,-9999,-21.22216667,329.9335555555556,25.257655555555555,9.375862108,30.59802877472833,35.525989,13.49
2022,144.499,-9999,-16.41433333,207.846,18.081766666666667,7.652758428201802,24.06709176153513,35.514352,13.4
2022,144.5207,1,-20.2106,239.989,18.8331,7.833697654647432,28.04429765464743,35.514352,13.4
2022,144.5415,1,-16.278,252.348,18.903,7.850531347269106,24.128531347269103,35.506594,13.35
2022,144.5624,1,-20.5897,259.686,19.1081,7.899923605255708,28.48962360525571,35.491078,13.3
2022,144.5832,1,-16.8397,236.156,19.1438,7.908520686382576,24.748220686382577,35.48332,13.3
2022,144.604,1,-21.4282,277.546,19.2874,7.943100860775877,29.371300860775875,35.471683,13.3
2022,144.6249,1,-16.7639,253.452,19.2791,7.941102184490132,24.705002184490134,35.452287999999996,13.3
2022,144.6457,1,-14.3449,209.89,19.3913,7.968119981799036,22.31301998179904,35.436772,13.3
2022,144.6665,1,-13.0756,199.19,19.2909,7.943943674547836,21.01954367454784,35.421256,13.3
2022,144.6873,1,-13.5366,190.699,19.4798,7.989430057982733,21.526030057982734,35.413498,13.33
2022,144.7082,1,-13.0766,210.949,19.667,8.034503732940276,21.11110373294028,35.382466,13.4
2022,144.729,1,-11.4262,179.525,19.4252,7.976282907987556,19.402482907987554,35.351434,13.42
2022,144.7498,1,-9.70869,155.682,18.4547,7.742568365,17.451258364559912,35.316523,13.5
2022,144.7707,1,-3.214,137.774,17.6905,7.558543181169401,10.77254318,35.28937,13.58
2022,144.7915,1,2.7338,80.059,16.5176,7.276246192075615,4.542446192075616,35.258338,13.66
2022,144.8123,1,8.49704,68.7078,15.8162,7.107588917265167,-1.389451083,35.227306000000006,13.76
2022,144.8332,0,6.47628,50.4051,14.6104,6.818078614290337,0.3417986142903366,35.196274,13.86
2022,144.854,0,7.48893,38.8793,13.8887,6.645148671642297,-0.843781328,35.161363,13.97
2022,144.8748,0,7.69004,33.6923,13.4327,6.536050642948896,-1.153989357,35.134209999999996,14.07
2022,144.8956,0,5.62164,18.0879,12.9831,6.428626919822411,0.8069869198224104,35.107057000000005,14.17
2022,144.9165,0,11.0911,31.3164,12.6211,6.3422467314637325,-4.748853269,35.079904,14.26
2022,144.9373,0,6.80332,20.8546,12.3724,6.282964934892978,-0.520355065,35.05663,14.33
2022,144.9581,0,9.63758,27.5969,12.3702,6.282440765767543,-3.355139234,35.044993000000005,14.4
2022,144.979,0,8.63418,27.1661,12.8415,6.394825915824401,-2.239354084,35.025598,14.45
2022,145,0,11.5208,45.8427,13.266,6.496203372287751,-5.024596628,35.021719000000004,14.5
2022,145.0208,0,11.7535,43.9169,13.5448,6.562857590503195,-5.190642409,35.002324,14.5
2022,145.0416,0,9.65661,39.6164,13.9373,6.656784236670186,-2.999825763,35.006203,14.5
2022,145.0624,0,12.8008,47.2653,14.1129,6.698837674538735,-6.101962325,34.994566,14.5
2022,145.0833,0,8.36029,26.3178,14.1081,6.697687900989195,-1.662602099,34.986808,14.5
2022,145.1041,0,7.18019,21.6111,14.4695,6.784293697088793,-0.395896303,34.990687,14.5
2022,145.1249,0,9.49065,24.3962,14.1757,6.713881809284837,-2.776768191,34.982929,14.5
2022,145.1458,0,11.5162,18.9378,13.805,6.625113155,-4.891086845,34.986808,14.4
2022,145.1666,0,12.6349,23.544,13.9097,6.650176202649864,-5.984723797,34.982929,14.4
2022,145.1874,0,11.9102,23.5499,14.4566,6.781201077455728,-5.128998923,34.967413,14.34
2022,145.2083,0,8.87367,28.5371,14.7335,6.847603995,-2.026066005,34.959655,14.3
2022,145.2291,1,13.9048,75.646,18.7338,7.80978351,-6.09501649,34.963534,14.26
2022,145.2499,1,11.389235,52.09155,17.6527,7.549441899733114,-3.8397931,34.955776,14.2
2022,145.2707,1,4.58062,64.5085252,17.4092,7.490817538606032,2.910197538606032,34.955776,14.2
2022,145.2916,1,3.80908554,36.11318,17.3115,7.467297901997345,3.658212361997345,34.955776,14.1
2022,145.3124,1,-1.475893571,93.73017333333334,17.7873,7.581850876944243,9.057744448372816,34.951896999999995,14.1
2022,145.3332,1,-2.981007217,69.49928333333334,17.4826,7.508488281469384,10.489495498136051,34.955776,14.04
2022,145.3541,1,2.692363333333333,19.055646666666668,17.5275,7.5192981355722734,4.826934802,34.951896999999995,14
2022,145.3749,1,-0.637671,28.1916,15.3146,6.987079219234068,7.624750219234068,34.959655,14
2022,145.3957,1,-7.103303333,38.40694666666667,16.0456,7.162733112544263,14.266036445877596,34.963534,13.92
2022,145.4165,1,-2.02632,28.6008,20.0636,8.129982095382136,10.156302095382136,34.955776,13.9
2022,145.4374,1,-5.57541,41.0805,17.2494,7.452349146,13.027759146349869,34.955776,13.9
2022,145.4582,1,-4.75301,54.906,17.8836,7.605039108744122,12.358049108744122,34.967413,13.85
2022,145.479,1,-4.44476,34.4192,18.8342,7.833962563524673,12.278722563524672,35.025598,13.8
2022,145.4999,1,-4.0933325,37.097,19.5687,8.010835698627213,12.104168198627214,35.079904,13.8
2022,145.5207,1,-1.55132,25.7446,22.8504,8.799825485650448,10.351145485650449,35.126452,13.8
2022,145.5415,1,-5.62424,68.0844,21.447,8.462788650611403,14.087028650611405,35.161363,13.8
2022,145.5624,1,-17.3497,174.212,23.2645,8.899125207,26.248825206959022,35.188516,13.79
2022,145.5832,1,-13.263,173.244,24.5692,9.211440904749889,22.474440904749887,35.204032000000005,13.7
2022,145.604,1,-15.36438667,198.04126666666667,25.6316,9.46504775,24.829434416805857,35.227306000000006,13.7
2022,145.6249,1,-8.3019,116.699,25.2669,9.378067970881672,17.679967970881673,35.231184999999996,13.7
2022,145.6457,1,-13.7018,276.479,24.201,9.123392665182132,22.825192665182133,35.242822000000004,13.7
2022,145.6665,1,-15.6846,260.695,26.5784,9.690444215976612,25.37504421597661,35.25058,13.75
2022,145.6873,1,-5.769319121,221.845,26.3458,9.635128440084364,15.404447561136998,35.25058,13.8
2022,145.7082,1,-11.93299091,241.27,26.1766,9.594866258,21.52785716745122,35.25058,13.8
2022,145.729,1,-3.269032308,91.58216462,25.6774,9.475964864325292,12.74499717,35.25058,13.8
2022,145.7498,1,-5.231841,91.9878,26.2739,9.618021824974232,14.849862824974233,35.25058,13.86
2022,145.7707,1,4.889685714285714,101.4,24.383,9.166924016277736,4.277238302,35.238943,13.9
2022,145.7915,1,5.38632,82.5756,24.2504,9.135210108349453,3.748890108349453,35.227306000000006,13.94
2022,145.8123,1,6.76993,66.5121,23.2144,8.887115502102782,2.1171855021027826,35.204032000000005,14
2022,145.8332,0,9.19916,40.1219,22.6942,8.762349927467643,-0.436810073,35.215669,14.1
2022,145.854,0,9.26828,25.8309,22.5363,8.724456262509188,-0.543823737,35.324281,14.19
2022,145.8748,0,11.5485,25.4861,22.5439,8.726280380811893,-2.822219619,35.467804,14.28
2022,145.8956,0,9.86244,17.6041,22.4241,8.697523855670864,-1.164916144,35.549262999999996,14.38
2022,145.9165,0,9.45202,14.1805,22.1077,8.621549482606886,-0.830470517,35.611326999999996,14.48
2022,145.9373,0,8.6748,8.20889,21.754,8.536576075066588,-0.138223925,35.630722,14.59
2022,145.9581,0,7.82688,8.50241,21.6127,8.502618292024142,0.6757382920241417,35.650116999999995,14.69
2022,145.979,0,8.71026,10.7958,21.5373,8.484495283649716,-0.225764716,35.688907,14.79
2022,146,0,9.30281,10.385,21.5321,8.483245356358958,-0.819564644,35.692786,14.88
2022,146.0208,0,9.222327368421052,25.651288,24.3277,9.153699105295994,-0.068628263,35.696665,14.96
2022,146.0416,0,7.17393,33.7955,23.8236,9.033068404,1.859138403810599,35.681149,15.01
2022,146.0624,0,8.10722,12.5744,20.0946,8.137444142211756,0.030224142,35.681149,15.1
2022,146.0833,0,8.20762,9.31203,22.9765,8.830071858891277,0.6224518588912762,35.669512,15.11
2022,146.1041,0,5.68657,7.20067,22.9914,8.833645319470829,3.1470753194708294,35.657875,15.2
2022,146.1249,0,9.7528,12.564,22.7773,8.782288584429162,-0.970511416,35.642359,15.2
2022,146.1458,0,9.388484,20.657921428571427,22.7589,8.777874015971042,-0.610609984,35.630722,15.2
2022,146.1666,0,8.7987,11.07358,20.0625,8.129717310266523,-0.66898269,35.619085,15.2
2022,146.1874,0,7.98468,9.12004,23.3281,8.914369384957691,0.9296893849576912,35.603569,15.25
2022,146.2083,0,8.65862,11.5367,20.2802,8.182116787832546,-0.476503212,35.59969,15.3
2022,146.2291,1,10.2541,11.2686,20.1137,8.142041648926428,-2.112058351,35.580295,15.3
2022,146.2499,1,9.4194,11.8459,19.9271,8.097123253953809,-1.322276746,35.603569,15.3
2022,146.2707,1,7.27971,22.6384,19.8767,8.084990067998602,0.8052800679986021,35.560900000000004,15.3
2022,146.2916,1,5.77786,28.3323,19.9431,8.100974983387307,2.323114983387306,35.549262999999996,15.3
2022,146.3124,1,-0.0571623,43.27,20.2643,8.178290001,8.235452301,35.537626,15.3
2022,146.3332,1,-3.37438,74.4793,20.8286,8.314074029,11.68845403,35.518231,15.3
2022,146.3541,1,-2.98089,81.3835,20.7956,8.306135341,11.28702534,35.537626,15.32
2022,146.3749,1,-16.6138,161.339,22.1427,8.629955552876698,25.24375555,35.545384,15.4
2022,146.3957,1,-11.8757,111.71,22.2526,8.656347703711527,20.532047703711527,35.553142,15.4
2022,146.4165,1,-9.86906,125.148,22.9019,8.812179116812118,18.681239116812115,35.545384,15.4
2022,146.4374,1,-9.2866,107.131,22.485,8.712142863182931,17.998742863182933,35.560900000000004,15.4
2022,146.4582,1,-6.25334,107.481,22.3301,8.674956389839188,14.928296389839188,35.549262999999996,15.4
2022,146.479,1,-6.54,88.7626,22.3378,8.676805128790255,15.216805128790256,35.541505,15.4
